"azienda" "tipo" "cbranca" "qta" "nomeazienda"
907 "Pub" 26 2773 "S.ANTONIO"
907 "Pub" 29 49569 "S.ANTONIO"
907 "Pub" 30 2853 "S.ANTONIO"
907 "Pub" 32 17700 "S.ANTONIO"
907 "Pub" 33 6147 "S.ANTONIO"
907 "Pub" 34 21803 "S.ANTONIO"
907 "Pub" 35 3066 "S.ANTONIO"
907 "Pub" 36 21636 "S.ANTONIO"
907 "Pub" 37 8609 "S.ANTONIO"
907 "Pub" 38 9086 "S.ANTONIO"
907 "Pub" 39 894 "S.ANTONIO"
907 "Pub" 40 12003 "S.ANTONIO"
907 "Pub" 43 8218 "S.ANTONIO"
907 "Pub" 52 7268 "S.ANTONIO"
907 "Pub" 56 42240 "S.ANTONIO"
907 "Pub" 58 11219 "S.ANTONIO"
907 "Pub" 61 10307 "S.ANTONIO"
907 "Pub" 64 12610 "S.ANTONIO"
907 "Pub" 68 11050 "S.ANTONIO"
907 "Pub" 69 39452 "S.ANTONIO"
907 "Pub" 70 38486 "S.ANTONIO"
907 "Pub" 71 4356 "S.ANTONIO"
907 "Pub" 79 7870 "S.ANTONIO"
907 "Pub" 82 1624 "S.ANTONIO"
907 "Pub" 98 1355022 "S.ANTONIO"
907 "Pub" 99 40337 "S.ANTONIO"
908 "Pub" 1 16648 "MAURIZIANO"
908 "Pub" 5 499 "MAURIZIANO"
908 "Pub" 7 903 "MAURIZIANO"
908 "Pub" 8 21235 "MAURIZIANO"
908 "Pub" 9 7853 "MAURIZIANO"
908 "Pub" 12 8495 "MAURIZIANO"
908 "Pub" 14 8362 "MAURIZIANO"
908 "Pub" 18 8945 "MAURIZIANO"
908 "Pub" 19 9004 "MAURIZIANO"
908 "Pub" 26 2339 "MAURIZIANO"
908 "Pub" 29 79479 "MAURIZIANO"
908 "Pub" 32 22877 "MAURIZIANO"
908 "Pub" 34 13980 "MAURIZIANO"
908 "Pub" 35 21908 "MAURIZIANO"
908 "Pub" 36 17081 "MAURIZIANO"
908 "Pub" 37 13570 "MAURIZIANO"
908 "Pub" 38 17007 "MAURIZIANO"
908 "Pub" 39 1730 "MAURIZIANO"
908 "Pub" 40 2296 "MAURIZIANO"
908 "Pub" 43 8555 "MAURIZIANO"
908 "Pub" 52 3689 "MAURIZIANO"
908 "Pub" 56 22298 "MAURIZIANO"
908 "Pub" 58 17300 "MAURIZIANO"
908 "Pub" 61 15252 "MAURIZIANO"
908 "Pub" 64 15484 "MAURIZIANO"
908 "Pub" 68 15041 "MAURIZIANO"
908 "Pub" 69 46780 "MAURIZIANO"
908 "Pub" 70 34372 "MAURIZIANO"
908 "Pub" 71 10430 "MAURIZIANO"
908 "Pub" 79 17650 "MAURIZIANO"
908 "Pub" 82 1464 "MAURIZIANO"
908 "Pub" 98 998834 "MAURIZIANO"
908 "Pub" 99 52099 "MAURIZIANO"
909 "Pub" 1 97073 "CITTASALUTE"
909 "Pub" 5 4915 "CITTASALUTE"
909 "Pub" 7 2164 "CITTASALUTE"
909 "Pub" 8 65220 "CITTASALUTE"
909 "Pub" 9 35453 "CITTASALUTE"
909 "Pub" 10 242 "CITTASALUTE"
909 "Pub" 12 25403 "CITTASALUTE"
909 "Pub" 14 3250 "CITTASALUTE"
909 "Pub" 18 17071 "CITTASALUTE"
909 "Pub" 19 35925 "CITTASALUTE"
909 "Pub" 20 307 "CITTASALUTE"
909 "Pub" 21 504 "CITTASALUTE"
909 "Pub" 24 1657 "CITTASALUTE"
909 "Pub" 26 14739 "CITTASALUTE"
909 "Pub" 29 128564 "CITTASALUTE"
909 "Pub" 30 7722 "CITTASALUTE"
909 "Pub" 32 62410 "CITTASALUTE"
909 "Pub" 33 8910 "CITTASALUTE"
909 "Pub" 34 11493 "CITTASALUTE"
909 "Pub" 35 62764 "CITTASALUTE"
909 "Pub" 36 74300 "CITTASALUTE"
909 "Pub" 37 84373 "CITTASALUTE"
909 "Pub" 38 64199 "CITTASALUTE"
909 "Pub" 39 8258 "CITTASALUTE"
909 "Pub" 40 34989 "CITTASALUTE"
909 "Pub" 43 34312 "CITTASALUTE"
909 "Pub" 52 87166 "CITTASALUTE"
909 "Pub" 56 178862 "CITTASALUTE"
909 "Pub" 58 45753 "CITTASALUTE"
909 "Pub" 61 22417 "CITTASALUTE"
909 "Pub" 64 120614 "CITTASALUTE"
909 "Pub" 68 39864 "CITTASALUTE"
909 "Pub" 69 279859 "CITTASALUTE"
909 "Pub" 70 131533 "CITTASALUTE"
909 "Pub" 71 10153 "CITTASALUTE"
909 "Pub" 79 81510 "CITTASALUTE"
909 "Pub" 81 1597 "CITTASALUTE"
909 "Pub" 82 10385 "CITTASALUTE"
909 "Pub" 98 3813685 "CITTASALUTE"
909 "Pub" 99 139609 "CITTASALUTE"
920 "Pub" 8 4129 "AUXOLOGICO"
920 "Pub" 19 3407 "AUXOLOGICO"
920 "Pub" 32 10999 "AUXOLOGICO"
920 "Pub" 34 2519 "AUXOLOGICO"
920 "Pub" 36 438 "AUXOLOGICO"
920 "Pub" 40 314 "AUXOLOGICO"
920 "Pub" 56 7314 "AUXOLOGICO"
920 "Pub" 58 480 "AUXOLOGICO"
920 "Pub" 68 312 "AUXOLOGICO"
920 "Pub" 69 21665 "AUXOLOGICO"
920 "Pub" 79 1345 "AUXOLOGICO"
920 "Pub" 98 176580 "AUXOLOGICO"
920 "Pub" 99 58 "AUXOLOGICO"
921 "Priv" 1 578 "MAUGERI"
921 "Priv" 8 4529 "MAUGERI"
921 "Priv" 32 7860 "MAUGERI"
921 "Priv" 56 16252 "MAUGERI"
921 "Priv" 61 6059 "MAUGERI"
921 "Priv" 68 5079 "MAUGERI"
921 "Priv" 69 10655 "MAUGERI"
921 "Priv" 98 128175 "MAUGERI"
921 "Pub" 8 542 "MAUGERI"
921 "Pub" 32 49 "MAUGERI"
921 "Pub" 56 165 "MAUGERI"
921 "Pub" 69 2073 "MAUGERI"
921 "Pub" 98 896 "MAUGERI"
982 "Pub" 8 4864 "IRCCS"
982 "Pub" 9 1828 "IRCCS"
982 "Pub" 12 2475 "IRCCS"
982 "Pub" 14 170 "IRCCS"
982 "Pub" 18 785 "IRCCS"
982 "Pub" 35 1437 "IRCCS"
982 "Pub" 37 3518 "IRCCS"
982 "Pub" 38 968 "IRCCS"
982 "Pub" 40 177 "IRCCS"
982 "Pub" 52 3952 "IRCCS"
982 "Pub" 58 4596 "IRCCS"
982 "Pub" 61 7540 "IRCCS"
982 "Pub" 64 34176 "IRCCS"
982 "Pub" 68 2266 "IRCCS"
982 "Pub" 69 24964 "IRCCS"
982 "Pub" 70 55807 "IRCCS"
982 "Pub" 79 12116 "IRCCS"
982 "Pub" 82 7806 "IRCCS"
982 "Pub" 98 423373 "IRCCS"
982 "Pub" 99 12897 "IRCCS"
990 "Pub" 56 27844 "AUSILIATRICE"
990 "Pub" 69 16527 "AUSILIATRICE"
991 "Pub" 56 6049 "FATEBENE"
991 "Pub" 99 2177 "FATEBENE"
992 "Pub" 8 11010 "GRADENIGO"
992 "Pub" 9 2948 "GRADENIGO"
992 "Pub" 12 1934 "GRADENIGO"
992 "Pub" 19 7770 "GRADENIGO"
992 "Pub" 26 851 "GRADENIGO"
992 "Pub" 32 8848 "GRADENIGO"
992 "Pub" 34 16477 "GRADENIGO"
992 "Pub" 36 8978 "GRADENIGO"
992 "Pub" 38 14121 "GRADENIGO"
992 "Pub" 43 5718 "GRADENIGO"
992 "Pub" 56 10678 "GRADENIGO"
992 "Pub" 58 8913 "GRADENIGO"
992 "Pub" 64 13748 "GRADENIGO"
992 "Pub" 68 1288 "GRADENIGO"
992 "Pub" 69 30028 "GRADENIGO"
992 "Pub" 71 1 "GRADENIGO"
992 "Pub" 82 1547 "GRADENIGO"
992 "Pub" 98 486321 "GRADENIGO"
992 "Pub" 99 6966 "GRADENIGO"
993 "Pub" 32 107 "SANCAMILLO"
993 "Pub" 56 14073 "SANCAMILLO"
993 "Pub" 69 7402 "SANCAMILLO"
997 "Pub" 8 12127 "COTTOLENGO"
997 "Pub" 9 3493 "COTTOLENGO"
997 "Pub" 14 4687 "COTTOLENGO"
997 "Pub" 19 1123 "COTTOLENGO"
997 "Pub" 32 23571 "COTTOLENGO"
997 "Pub" 34 12423 "COTTOLENGO"
997 "Pub" 35 2914 "COTTOLENGO"
997 "Pub" 36 27714 "COTTOLENGO"
997 "Pub" 37 1239 "COTTOLENGO"
997 "Pub" 38 8452 "COTTOLENGO"
997 "Pub" 43 6798 "COTTOLENGO"
997 "Pub" 52 15196 "COTTOLENGO"
997 "Pub" 56 29886 "COTTOLENGO"
997 "Pub" 58 4236 "COTTOLENGO"
997 "Pub" 64 7786 "COTTOLENGO"
997 "Pub" 69 34154 "COTTOLENGO"
997 "Pub" 82 1106 "COTTOLENGO"
997 "Pub" 98 208082 "COTTOLENGO"
997 "Pub" 99 581 "COTTOLENGO"
