"azienda" "tipo" "cbranca" "qta" "nomeazienda"
204 "Pub" 9 12219 "TO4"
204 "Pub" 12 1931 "TO4"
204 "Pub" 14 5302 "TO4"
204 "Pub" 18 21067 "TO4"
204 "Pub" 19 39433 "TO4"
204 "Pub" 21 2858 "TO4"
204 "Pub" 26 7509 "TO4"
204 "Pub" 29 146102 "TO4"
204 "Pub" 30 184 "TO4"
204 "Pub" 32 39081 "TO4"
204 "Pub" 33 36919 "TO4"
204 "Pub" 34 63540 "TO4"
204 "Pub" 35 27650 "TO4"
204 "Pub" 36 49988 "TO4"
204 "Pub" 37 50375 "TO4"
204 "Pub" 38 43388 "TO4"
204 "Pub" 39 2133 "TO4"
204 "Pub" 40 139502 "TO4"
204 "Pub" 43 20894 "TO4"
204 "Pub" 52 18815 "TO4"
204 "Pub" 56 315982 "TO4"
204 "Pub" 58 19203 "TO4"
204 "Pub" 61 9021 "TO4"
204 "Pub" 64 12119 "TO4"
204 "Pub" 68 13659 "TO4"
204 "Pub" 69 148165 "TO4"
204 "Pub" 70 26507 "TO4"
204 "Pub" 71 5348 "TO4"
204 "Pub" 79 112298 "TO4"
204 "Pub" 81 63768 "TO4"
204 "Pub" 82 11417 "TO4"
204 "Pub" 98 5305332 "TO4"
204 "Pub" 99 73756 "TO4"
205 "Priv" 1 1 "TO5"
205 "Priv" 8 14869 "TO5"
205 "Priv" 9 7838 "TO5"
205 "Priv" 14 28 "TO5"
205 "Priv" 19 183 "TO5"
205 "Priv" 32 16465 "TO5"
205 "Priv" 34 8451 "TO5"
205 "Priv" 36 6743 "TO5"
205 "Priv" 37 862 "TO5"
205 "Priv" 38 4014 "TO5"
205 "Priv" 43 2988 "TO5"
205 "Priv" 52 1418 "TO5"
205 "Priv" 58 98 "TO5"
205 "Priv" 68 677 "TO5"
205 "Priv" 69 58973 "TO5"
205 "Priv" 79 1552 "TO5"
205 "Priv" 98 248559 "TO5"
205 "Pub" 1 3802 "TO5"
205 "Pub" 8 47143 "TO5"
205 "Pub" 9 10558 "TO5"
205 "Pub" 12 3335 "TO5"
205 "Pub" 14 1286 "TO5"
205 "Pub" 18 1451 "TO5"
205 "Pub" 19 24018 "TO5"
205 "Pub" 21 3464 "TO5"
205 "Pub" 26 3687 "TO5"
205 "Pub" 29 61360 "TO5"
205 "Pub" 32 8723 "TO5"
205 "Pub" 33 20720 "TO5"
205 "Pub" 34 19278 "TO5"
205 "Pub" 35 11437 "TO5"
205 "Pub" 36 28086 "TO5"
205 "Pub" 37 49406 "TO5"
205 "Pub" 38 21788 "TO5"
205 "Pub" 39 5188 "TO5"
205 "Pub" 40 40165 "TO5"
205 "Pub" 43 5650 "TO5"
205 "Pub" 52 10958 "TO5"
205 "Pub" 56 180676 "TO5"
205 "Pub" 58 4938 "TO5"
205 "Pub" 61 3675 "TO5"
205 "Pub" 64 6036 "TO5"
205 "Pub" 68 5493 "TO5"
205 "Pub" 69 62542 "TO5"
205 "Pub" 79 12019 "TO5"
205 "Pub" 81 7629 "TO5"
205 "Pub" 82 1909 "TO5"
205 "Pub" 98 2222443 "TO5"
205 "Pub" 99 37965 "TO5"
206 "Priv" 8 15852 "VC"
206 "Priv" 9 1543 "VC"
206 "Priv" 12 476 "VC"
206 "Priv" 14 4580 "VC"
206 "Priv" 19 463 "VC"
206 "Priv" 32 7634 "VC"
206 "Priv" 34 5006 "VC"
206 "Priv" 36 5545 "VC"
206 "Priv" 37 722 "VC"
206 "Priv" 38 2738 "VC"
206 "Priv" 43 1080 "VC"
206 "Priv" 52 3689 "VC"
206 "Priv" 56 61573 "VC"
206 "Priv" 58 2221 "VC"
206 "Priv" 68 556 "VC"
206 "Priv" 69 64202 "VC"
206 "Priv" 98 96967 "VC"
206 "Pub" 1 6095 "VC"
206 "Pub" 8 39325 "VC"
206 "Pub" 9 6680 "VC"
206 "Pub" 12 2356 "VC"
206 "Pub" 14 5338 "VC"
206 "Pub" 19 20547 "VC"
206 "Pub" 21 154 "VC"
206 "Pub" 24 4559 "VC"
206 "Pub" 26 2740 "VC"
206 "Pub" 29 42166 "VC"
206 "Pub" 30 40 "VC"
206 "Pub" 32 19887 "VC"
206 "Pub" 33 14628 "VC"
206 "Pub" 34 25338 "VC"
206 "Pub" 35 12742 "VC"
206 "Pub" 36 22504 "VC"
206 "Pub" 37 23877 "VC"
206 "Pub" 38 17885 "VC"
206 "Pub" 40 29148 "VC"
206 "Pub" 43 9525 "VC"
206 "Pub" 52 15156 "VC"
206 "Pub" 56 92816 "VC"
206 "Pub" 58 10467 "VC"
206 "Pub" 61 2 "VC"
206 "Pub" 64 16027 "VC"
206 "Pub" 68 10448 "VC"
206 "Pub" 69 88914 "VC"
206 "Pub" 71 8321 "VC"
206 "Pub" 79 1391 "VC"
206 "Pub" 81 4427 "VC"
206 "Pub" 82 4797 "VC"
206 "Pub" 98 1831428 "VC"
206 "Pub" 99 31544 "VC"
207 "Priv" 8 6961 "BI"
207 "Priv" 36 3789 "BI"
207 "Priv" 43 2328 "BI"
207 "Priv" 56 60792 "BI"
207 "Pub" 1 8452 "BI"
207 "Pub" 8 37254 "BI"
207 "Pub" 9 6262 "BI"
207 "Pub" 12 1266 "BI"
207 "Pub" 14 3684 "BI"
207 "Pub" 19 2502 "BI"
207 "Pub" 21 4752 "BI"
207 "Pub" 24 4277 "BI"
207 "Pub" 26 3956 "BI"
207 "Pub" 29 63228 "BI"
207 "Pub" 30 90 "BI"
207 "Pub" 32 18747 "BI"
207 "Pub" 33 8288 "BI"
207 "Pub" 34 25115 "BI"
207 "Pub" 35 9126 "BI"
207 "Pub" 36 13356 "BI"
207 "Pub" 37 18809 "BI"
207 "Pub" 38 13322 "BI"
207 "Pub" 39 2140 "BI"
207 "Pub" 40 30452 "BI"
207 "Pub" 43 5879 "BI"
207 "Pub" 52 18092 "BI"
207 "Pub" 56 57528 "BI"
207 "Pub" 58 5700 "BI"
207 "Pub" 61 7700 "BI"
207 "Pub" 64 7156 "BI"
207 "Pub" 68 9924 "BI"
207 "Pub" 69 99384 "BI"
207 "Pub" 70 22826 "BI"
207 "Pub" 71 1675 "BI"
207 "Pub" 79 37692 "BI"
207 "Pub" 81 9342 "BI"
207 "Pub" 82 1929 "BI"
207 "Pub" 98 1834085 "BI"
207 "Pub" 99 24973 "BI"
208 "Priv" 1 556 "NO"
208 "Priv" 8 21491 "NO"
208 "Priv" 9 1216 "NO"
208 "Priv" 12 401 "NO"
208 "Priv" 14 584 "NO"
208 "Priv" 19 75 "NO"
208 "Priv" 30 686 "NO"
208 "Priv" 32 21619 "NO"
208 "Priv" 34 14548 "NO"
208 "Priv" 36 7699 "NO"
208 "Priv" 37 1083 "NO"
208 "Priv" 38 4646 "NO"
208 "Priv" 43 694 "NO"
208 "Priv" 52 4797 "NO"
208 "Priv" 56 150984 "NO"
208 "Priv" 68 535 "NO"
208 "Priv" 69 75711 "NO"
208 "Priv" 98 219251 "NO"
208 "Pub" 1 13242 "NO"
208 "Pub" 8 23873 "NO"
208 "Pub" 9 15167 "NO"
208 "Pub" 12 1229 "NO"
208 "Pub" 14 5 "NO"
208 "Pub" 19 8955 "NO"
208 "Pub" 21 1150 "NO"
208 "Pub" 26 354 "NO"
208 "Pub" 29 51890 "NO"
208 "Pub" 30 237 "NO"
208 "Pub" 32 14561 "NO"
208 "Pub" 33 27047 "NO"
208 "Pub" 34 40022 "NO"
208 "Pub" 35 14433 "NO"
208 "Pub" 36 16403 "NO"
208 "Pub" 37 32880 "NO"
208 "Pub" 38 16935 "NO"
208 "Pub" 39 4432 "NO"
208 "Pub" 40 47291 "NO"
208 "Pub" 43 8347 "NO"
208 "Pub" 52 8974 "NO"
208 "Pub" 56 50021 "NO"
208 "Pub" 58 9777 "NO"
208 "Pub" 61 1 "NO"
208 "Pub" 64 9256 "NO"
208 "Pub" 68 7693 "NO"
208 "Pub" 69 93747 "NO"
208 "Pub" 71 3989 "NO"
208 "Pub" 79 3419 "NO"
208 "Pub" 81 14889 "NO"
208 "Pub" 82 4872 "NO"
208 "Pub" 98 2273639 "NO"
208 "Pub" 99 21041 "NO"
209 "Priv" 8 3130 "VCO"
209 "Priv" 34 2651 "VCO"
209 "Priv" 56 42231 "VCO"
209 "Priv" 68 445 "VCO"
209 "Priv" 69 10096 "VCO"
209 "Priv" 98 27552 "VCO"
209 "Pub" 1 11769 "VCO"
209 "Pub" 8 31319 "VCO"
209 "Pub" 9 6378 "VCO"
209 "Pub" 10 171 "VCO"
209 "Pub" 12 1777 "VCO"
209 "Pub" 13 442 "VCO"
209 "Pub" 14 7851 "VCO"
209 "Pub" 18 959 "VCO"
209 "Pub" 19 15568 "VCO"
209 "Pub" 21 4290 "VCO"
209 "Pub" 24 4202 "VCO"
209 "Pub" 26 9121 "VCO"
209 "Pub" 29 69174 "VCO"
209 "Pub" 30 178 "VCO"
209 "Pub" 32 15464 "VCO"
209 "Pub" 33 11697 "VCO"
209 "Pub" 34 22492 "VCO"
209 "Pub" 35 14114 "VCO"
209 "Pub" 36 24418 "VCO"
209 "Pub" 37 17186 "VCO"
209 "Pub" 38 18257 "VCO"
209 "Pub" 39 192 "VCO"
209 "Pub" 40 22834 "VCO"
209 "Pub" 43 9761 "VCO"
209 "Pub" 52 10400 "VCO"
209 "Pub" 56 109519 "VCO"
209 "Pub" 58 9065 "VCO"
209 "Pub" 64 16485 "VCO"
209 "Pub" 68 7051 "VCO"
209 "Pub" 69 89599 "VCO"
209 "Pub" 70 25011 "VCO"
209 "Pub" 71 2026 "VCO"
209 "Pub" 79 24214 "VCO"
209 "Pub" 81 10701 "VCO"
209 "Pub" 82 1488 "VCO"
209 "Pub" 98 1463181 "VCO"
209 "Pub" 99 19283 "VCO"
210 "Priv" 8 1557 "CN1"
210 "Priv" 9 39 "CN1"
210 "Priv" 32 10272 "CN1"
210 "Priv" 34 3916 "CN1"
210 "Priv" 36 1476 "CN1"
210 "Priv" 37 219 "CN1"
210 "Priv" 38 615 "CN1"
210 "Priv" 43 104 "CN1"
210 "Priv" 52 575 "CN1"
210 "Priv" 69 18237 "CN1"
210 "Priv" 98 9419 "CN1"
210 "Pub" 1 10482 "CN1"
210 "Pub" 8 57726 "CN1"
210 "Pub" 9 21644 "CN1"
210 "Pub" 12 3015 "CN1"
210 "Pub" 14 3529 "CN1"
210 "Pub" 18 87 "CN1"
210 "Pub" 19 20000 "CN1"
210 "Pub" 21 2210 "CN1"
210 "Pub" 24 98 "CN1"
210 "Pub" 26 2644 "CN1"
210 "Pub" 29 51717 "CN1"
210 "Pub" 30 294 "CN1"
210 "Pub" 32 41884 "CN1"
210 "Pub" 33 62819 "CN1"
210 "Pub" 34 59484 "CN1"
210 "Pub" 35 28892 "CN1"
210 "Pub" 36 38305 "CN1"
210 "Pub" 37 54945 "CN1"
210 "Pub" 38 25840 "CN1"
210 "Pub" 39 5317 "CN1"
210 "Pub" 40 78412 "CN1"
210 "Pub" 43 14423 "CN1"
210 "Pub" 52 18200 "CN1"
210 "Pub" 56 182788 "CN1"
210 "Pub" 58 9933 "CN1"
210 "Pub" 64 9954 "CN1"
210 "Pub" 68 13928 "CN1"
210 "Pub" 69 156136 "CN1"
210 "Pub" 70 10 "CN1"
210 "Pub" 71 2798 "CN1"
210 "Pub" 79 17214 "CN1"
210 "Pub" 81 20144 "CN1"
210 "Pub" 82 5307 "CN1"
210 "Pub" 98 2542140 "CN1"
210 "Pub" 99 41524 "CN1"
211 "Priv" 8 5464 "CN2"
211 "Priv" 9 341 "CN2"
211 "Priv" 34 2521 "CN2"
211 "Priv" 36 140 "CN2"
211 "Priv" 43 1670 "CN2"
211 "Priv" 56 45136 "CN2"
211 "Priv" 69 25289 "CN2"
211 "Priv" 98 111610 "CN2"
211 "Pub" 1 6689 "CN2"
211 "Pub" 8 27733 "CN2"
211 "Pub" 9 12676 "CN2"
211 "Pub" 12 1286 "CN2"
211 "Pub" 14 1 "CN2"
211 "Pub" 18 2045 "CN2"
211 "Pub" 19 17162 "CN2"
211 "Pub" 26 11437 "CN2"
211 "Pub" 29 52644 "CN2"
211 "Pub" 30 287 "CN2"
211 "Pub" 32 21456 "CN2"
211 "Pub" 33 13606 "CN2"
211 "Pub" 34 26941 "CN2"
211 "Pub" 35 8879 "CN2"
211 "Pub" 36 19053 "CN2"
211 "Pub" 37 16435 "CN2"
211 "Pub" 38 14220 "CN2"
211 "Pub" 39 1531 "CN2"
211 "Pub" 40 30315 "CN2"
211 "Pub" 43 11825 "CN2"
211 "Pub" 52 8366 "CN2"
211 "Pub" 56 130932 "CN2"
211 "Pub" 58 9142 "CN2"
211 "Pub" 64 9616 "CN2"
211 "Pub" 68 4341 "CN2"
211 "Pub" 69 75129 "CN2"
211 "Pub" 71 1336 "CN2"
211 "Pub" 79 27981 "CN2"
211 "Pub" 81 10578 "CN2"
211 "Pub" 82 2212 "CN2"
211 "Pub" 98 1729660 "CN2"
211 "Pub" 99 23312 "CN2"
212 "Priv" 8 6091 "AT"
212 "Priv" 32 10442 "AT"
212 "Priv" 34 8284 "AT"
212 "Priv" 36 3568 "AT"
212 "Priv" 37 150 "AT"
212 "Priv" 38 3394 "AT"
212 "Priv" 43 392 "AT"
212 "Priv" 52 129 "AT"
212 "Priv" 69 33518 "AT"
212 "Pub" 1 6575 "AT"
212 "Pub" 8 37921 "AT"
212 "Pub" 9 18254 "AT"
212 "Pub" 10 2011 "AT"
212 "Pub" 12 1674 "AT"
212 "Pub" 14 6592 "AT"
212 "Pub" 18 4494 "AT"
212 "Pub" 19 21119 "AT"
212 "Pub" 21 6313 "AT"
212 "Pub" 24 4600 "AT"
212 "Pub" 26 4942 "AT"
212 "Pub" 29 76981 "AT"
212 "Pub" 30 264 "AT"
212 "Pub" 32 22753 "AT"
212 "Pub" 33 15469 "AT"
212 "Pub" 34 26544 "AT"
212 "Pub" 35 13160 "AT"
212 "Pub" 36 20786 "AT"
212 "Pub" 37 31773 "AT"
212 "Pub" 38 13067 "AT"
212 "Pub" 39 4639 "AT"
212 "Pub" 40 40803 "AT"
212 "Pub" 43 8450 "AT"
212 "Pub" 52 22644 "AT"
212 "Pub" 56 62667 "AT"
212 "Pub" 58 7889 "AT"
212 "Pub" 64 18855 "AT"
212 "Pub" 68 17038 "AT"
212 "Pub" 69 68952 "AT"
212 "Pub" 70 38621 "AT"
